,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
El Salvador,0.0058000172097308345,0.0038984392152813024,0.013334878032447539,0.008600248042132696,0.013726907904061416,0.05380677636044081,0.011771659775208922,0.05594623310942797,0.1264277475971637,0.015841041448240317,0.057653928267602225,0.00895573621986969
Guatemala,0.08526702821584539,0.03942347989713737,0.004420465244645352,0.16929379731561228,0.04166580052521641,0.012928301519004617,0.017427825642063202,4.115077252884998e-05,0.05639892863310937,0.05052508074277374,2.667554400884103e-06,0.0003543379603374869
Guyana,0.0011451325182801236,0.031994273706557344,0.00014540402680292448,0.13671383144827526,0.009629385486138798,0.00025223452173331963,0.006158352487224096,0.1737684304750064,0.07761595212147189,0.0005195978914656145,0.006124987301947371,0.017269693463581752
Haiti,0.12609310802681958,0.14076858529446037,0.005812713556194211,0.19902461601247495,0.003164805074614593,0.05690735269540905,0.0036442210949721074,0.005150342900912391,0.020575240959257772,0.06969557416928428,0.08488212153726397,0.014462442830151804
Honduras,0.10003019935830378,0.0296681998574552,0.07791790492078902,0.0816044315624399,0.03339786111259196,0.09758938446163747,0.014812440628069693,0.0071273848828419945,0.1536709766466103,0.0013909932080464137,0.0017415106092195974,0.019442768764848493
Jamaica,0.0007652865811177463,0.0012108553463155956,0.11596170212732866,0.0032786096108074762,0.24666504991918753,0.0097593429862909,0.17183323642824325,0.02501723710473478,0.0002939141028596088,0.00033177528543628526,0.0037820421042932214,0.011347663459245259
Mexico,0.0017887561813450606,0.016748397516937928,0.00036344040835287303,0.013682287518231927,0.021712846338774874,0.003332020667168908,0.12672847908295073,0.03472536104511865,0.05175237604355156,0.003306082934569605,0.1438842346749417,0.05590525805717729
Nicaragua,0.027274293166579207,7.146323018064245e-05,0.02473916604265849,0.003879334482748303,0.004874733768757385,0.02919358599272996,0.012153618610614337,0.2994579856429132,0.023056308116877977,0.03937298588644219,8.45078147084288e-05,0.021456716897599086
Panama,0.057549384223782626,0.004717508121309062,2.5344789479201945e-07,9.364864482560942e-05,0.08238971914858695,0.023595761852398082,0.0011489075749853627,0.004692608258172395,0.040577770399582734,0.058769947181922744,3.7063700506412774e-06,0.4224938444902193
Paraguay,0.0025733144154071333,0.004581432425362009,0.4758468437427401,7.97568136686002e-05,0.09951997943826713,0.32475606386474687,0.002478288742643859,0.000287498208638942,0.003779930383828413,0.004417853770971604,4.417967621416396e-06,3.478884930449399e-07
Peru,0.0001796407672946812,0.010689993881623129,0.008528996240066897,0.019620900156747334,0.021895144048923985,0.013990091851706209,0.008314374474180644,5.901558298429619e-05,0.010662000982994876,0.0058338656030340105,0.052542641782085654,0.010483296349347334
Suriname,3.6934248564044174e-05,0.0006548097193087345,0.007854281352666925,7.725812660474849e-05,0.007614679007411215,0.01679496976305569,0.068511641385191,0.024470987343452603,0.008062220791842064,0.04955313817388387,0.00025493114859072085,0.0009841100527303423
Uruguay,0.12608086390639794,0.02435888225178903,0.01114970482100326,0.0014825832141220888,0.02600275009841092,0.0004938621100119342,0.04627169192592333,0.00014176644275155567,0.036906268465190996,0.1107137706404277,0.014138074166343398,0.014130290181172688
Venezuela,0.0931851426095591,0.4863565996759749,0.0719814125264111,0.08225593454029145,0.0029095244852073016,0.006551585867848486,0.12857903915581587,0.0015402095374851504,0.022748323880620622,0.01794061729662473,0.0031937512470059134,9.736553867654181e-05
