,HDI,LifeExpect,MeanYSchooling,GNIperCapita,Homicide Rate,PolStability,GovEffect,CorruptionControl,DrugsDeaths100K,Inflation Rate,Unemployment Rate,Rule of Law
El Salvador,-0.7143882530911493,-0.25537465043461605,-1.0702749525523474,-0.68257293434653,-0.7276255686407177,0.032134195761977666,0.004469078230016144,-0.25929015468655864,-0.8018239683873837,-0.2259844707898224,-1.0065204895980073,-0.2307802688295881
Guatemala,-1.3829303063494802,-0.6550914945931415,-1.989842930878946,-0.6186915879430299,0.026459111586935386,-0.5412536611818858,-0.8557178602998801,-1.1943630589343657,2.727206914421039,-0.22345136757233808,-1.368866579112915,-0.2438162395346152
Guyana,-0.17119783481875692,-1.5877641309630344,-0.21201150611418904,1.4371806890520418,-0.148171024886837,-0.10022205506601058,0.1557982618602757,0.44156840093047617,-0.4700347400891559,-0.22123490225703926,1.709788441389104,-0.20395191924282247
Haiti,-2.664302575094613,-2.2539588712272436,-2.0511474627673865,-1.4976211198413016,-0.5522016588193375,-1.4901965337260117,-1.9681201048802084,0.6124333447887347,-0.22873348314499026,-0.18387162979914512,1.7386114257823353,-0.2507043820799876
Honduras,-1.4664980630067714,-0.41526138809802854,-1.1315794844407876,-1.131088804411384,1.4949398046618385,-0.9383224136658497,-0.956603982720053,-1.0667720042516975,3.390785371017494,-0.22281809176796696,-0.08083946404039088,-0.24074232545478783
Jamaica,-0.2408376320331664,-0.3086702296557535,0.1558156852164502,-0.6020854299786542,2.852292229071615,0.40722152142998586,1.5214777716744068,0.6115410996510938,-0.7113359970333215,-0.21838516113736933,-0.5790653371233893,-0.19093204232878921
Mexico,0.4416323806680464,-0.38861359848745786,0.1558156852164502,0.7536353220319224,0.6535400561972995,-0.9827529572300152,-0.021017942170869875,-0.939180949569029,0.042730430917196145,-0.21901843694174045,-1.0734309890822942,-0.22847885671746607
Nicaragua,-0.8258119286342044,0.5707068274930018,-1.1315794844407876,-1.082167960678493,-0.814940636877604,-0.6955913388258292,-1.0829771255411118,-1.300540230313649,-0.6811733399153008,-0.2215515401592248,-0.5993958350436148,-0.25377829615981495
Panama,1.0962464744834954,1.2102537781466443,0.9527745997661694,2.109206469015793,-0.43392943002573714,0.5615591990739297,1.0154542207984865,-0.36546732606584204,0.012567773799175416,-0.23200059093134776,0.5249579043673458,-0.19553486655303337
Paraguay,-0.12941395649011125,-0.361965808876891,-0.028097910448868873,-0.07622376110675211,-0.7117501016885567,0.14250901977401004,-0.5265105134551049,-0.9815625936069782,-0.6811733399153008,-0.22186817806141035,-0.24477018777689408,4.793009246440963
Peru,0.49734421843957394,0.19763777294504695,0.5849474084355302,-0.09163307885747922,-0.7355633021167984,-0.49729080754997435,0.07986818024930342,-0.4506767367105611,0.10305574515323744,-0.22345136757233808,-0.8135094333933333,-0.21315756769131075
Suriname,0.05164951626735337,-0.361965808876891,0.5236428765470905,-0.02790133748068537,-0.9101934385905707,0.6279711694540506,-0.6024405950660772,0.0168597154133423,0.4046823163334444,-0.04993379717466022,0.21022120871625727,-0.18785812824896184
Uruguay,1.151958312255023,0.997071461262098,0.033206621439570816,1.2582530771115594,-0.45774263045397884,2.017477958181798,1.9765272817485553,2.3536497308952193,-0.22873348314499026,-0.21268567889802956,0.26477900060344506,-0.14648099160374617
Venezuela,-0.49154090200504047,-0.2820224400451867,1.3206017910968086,-1.2039464524172494,1.8600755445615444,-1.6225527845539995,-1.917677043670122,-1.6404856277548843,-0.4097094258531145,4.791143089340115,-0.4606852226511892,-0.2652692629294314
