,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
El Salvador,0.14568379203212384,0.03848542162600091,0.09793521136780452,0.0551319764656713,0.06852015129231581,0.24603292758888534,0.03418325860368055,0.12985803579030147,0.15424928736422056,0.01493872222663977,0.013238260159785386,0.001742955482570499
Guatemala,0.52455095435882,0.09532022041913497,0.007951377949004657,0.26580199181252023,0.05093894231596814,0.014478458732772563,0.01239491534058788,2.3393789145266655e-05,0.016852961131070394,0.011669744226263377,1.5001679841500448e-07,1.6889907913963165e-05
Guyana,0.01604662729648454,0.17620726108784707,0.0005957613354232158,0.48893497288780297,0.026815767359822464,0.0006434382126547597,0.00997668741153883,0.22501678773667694,0.05282966028697419,0.0002733651608140715,0.0007846089612383399,0.0018750622627224183
Haiti,0.5037614837299181,0.221035933724722,0.00679016603464457,0.2029322331086496,0.00251272068119256,0.04138817706211882,0.0016831860821129167,0.0019014538022701889,0.003992798100326722,0.010454098232729817,0.003100058495504722,0.000447690945809889
Honduras,0.5271487310017507,0.061449273637458904,0.12006243850458331,0.10975552840670601,0.03497714227384942,0.09362221577639664,0.009024485625065394,0.003470949272086415,0.039336226221314205,0.0002752167151765784,8.389734330912505e-05,0.0007938952223034416
Jamaica,0.007014065374866641,0.004361757349238575,0.31076217668623496,0.007669129102263766,0.4492798776167895,0.016283231530013726,0.18207347662684875,0.02118854229769893,0.00013084735464568932,0.00011416619036458552,0.00031687802580467083,0.0008058518452303152
Mexico,0.04570437623111494,0.16819126051187616,0.0027152368087270166,0.08922282727409467,0.11025214196632861,0.015498462996791293,0.3743472655961214,0.08199161338757047,0.06422967771063709,0.0031715250721394772,0.03360778597518211,0.011067826469416873
Nicaragua,0.3703116514466971,0.0003813467433146932,0.09821250542023534,0.013442552129356852,0.013153108802486118,0.07215652720019683,0.01907714058359499,0.375721281810037,0.01520556108526424,0.020070583113150558,1.0488920580860196e-05,0.002257252745085518
Panama,0.6531255496444555,0.021042249966451612,8.410320429829795e-07,0.0002712489835055173,0.185820084336258,0.04874884182319061,0.0015074221376230087,0.004921373389778252,0.02236881527839775,0.02504142616210614,3.8452521463963975e-07,0.03715176272097585
Paraguay,0.011534938676605945,0.008071369866126032,0.6236737887831731,9.12432744572672e-05,0.08865359531565728,0.26500496566015175,0.0012843049166584041,0.0001190895362414796,0.0008230098802598222,0.0007435009718947354,1.8103603070585832e-07,1.2082743257142417e-08
Peru,0.008535747239734536,0.19963543399089775,0.11849565611153313,0.23793931267145627,0.20675122426625286,0.12101285758596236,0.04567305162047403,0.0002591309996656752,0.02460787848678515,0.010407366085624396,0.02282278309873764,0.003859557842876116
Suriname,0.001881981081413802,0.013113681438270627,0.11702005616160854,0.0010047101476188995,0.07710831707769708,0.15578997862584085,0.4035934988894696,0.11522680024514957,0.01995443721941133,0.09479925310814125,0.00011874872124432113,0.00038853728413417615
Uruguay,0.8076869354533331,0.06133025422833185,0.020884549630395315,0.002423949629871732,0.03310372019720102,0.0005759355618994322,0.03426912895828275,8.39234537068732e-05,0.011483990622805104,0.026628290781154806,0.0008279501532983096,0.0007013713297197535
Venezuela,0.2701303209294869,0.5541214991522906,0.061011947413760995,0.060856158064250335,0.0016761478137420633,0.0034573822935220697,0.04309140358428525,0.0004125936052598692,0.0032031322770929667,0.0019525933641694826,8.463457165957581e-05,2.1869304799319136e-06
